"id";"kickoff_time";"kickoff_time_formatted";"team_h_score";"team_a_score";"was_home";"round";"total_points";"value";"transfers_balance";"selected";"transfers_in";"transfers_out";"loaned_in";"loaned_out";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element";"fixture";"opponent_team";"id_player";"dato"
490;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;0;45;-18;568;8;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;16;15;60;2017-04-08
61;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;45;0;288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;6;13;61;2017-04-08
491;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;0;45;-9;294;6;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;16;15;61;2017-04-08
62;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;45;0;220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;6;13;62;2017-04-08
492;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;0;45;-12;225;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;16;15;62;2017-04-08
63;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;-1;60;0;541;0;0;0;0;58;0;0;0;3;0;0;0;1;0;1;0;63;6;13;63;2017-04-08
493;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;0;60;-113;456;8;121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;16;15;63;2017-04-08
64;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;6;75;0;6796;0;0;0;0;78;1;0;0;2;0;0;0;0;0;0;0;64;6;13;64;2017-04-08
494;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;12;75;40;7690;279;239;0;0;90;2;0;0;3;0;0;1;0;0;3;0;64;16;15;64;2017-04-08
65;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;5;50;0;1086;0;0;0;0;90;0;1;0;3;0;0;0;0;0;0;0;65;6;13;65;2017-04-08
495;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;15;50;320;1563;372;52;0;0;90;2;1;0;3;0;0;0;0;0;2;0;65;16;15;65;2017-04-08
66;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;45;0;420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;6;13;66;2017-04-08
496;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;0;45;-58;390;4;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;16;15;66;2017-04-08
67;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;1;50;0;192;0;0;0;0;12;0;0;0;1;0;0;0;0;0;0;0;67;6;13;67;2017-04-08
497;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;1;50;-15;198;4;19;0;0;10;0;0;0;0;0;0;0;0;0;0;0;67;16;15;67;2017-04-08
68;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;0;60;0;457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;6;13;68;2017-04-08
498;"2017-04-06T17:00:00Z";"06. apr 19.00";4;3;TRUE;2;0;60;-56;428;3;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;16;15;68;2017-04-08
69;"2017-04-01T16:00:00Z";"01. apr 18.00";0;1;TRUE;1;2;40;0;8336;0;0;0;0;90;0;0;0;1;0;0;0;0;0;0;0;69;1;6;69;2017-04-08
